UserID,Age,SweetLike,MentholLike,PodsPerWeek,AvgSessionTimeMin,ReferralCount,ReorderRate,SubscriptionTenure,FlavourExplorationRate,NicotineToleranceLevel,SleepHours,StressLevelScale,SignupChannel,DeviceUsed,PrimaryFlavourNote,CountryRegCode,SubscribeIntent,FlavourFamilies,Cluster,OverLimitWarning
1,56,0.4863574819956078,0.9428311414132617,8,31.007250371587634,0,0.22629049746723542,7,0.37225356431627044,36,8.68654250517579,8.096134291234693,Referral,iOS,Spicy,IN,1,Custard Kunafa,0,False
2,46,0.4089551770854932,0.8088834616363281,5,17.76342950245745,1,0.4340730125313945,22,0.2185937997373324,33,6.390225360899824,5.439845213398736,Website,Android,Menthol,SG,0,Custard Kunafa,1,False
3,32,0.7718819805982451,0.07641685943805143,6,17.20605665198989,0,0.7345180313819305,5,0.44467030995788204,27,6.7621008365177815,4.709019782779963,TikTok,Desktop,Menthol,US,0,Custard Kunafa,3,False
4,25,0.012203072318044517,0.2793677139347164,1,10.594767000345742,0,0.4464557955356925,14,0.28328377701094964,36,7.063268652544927,7.77340830452636,Website,Android,Spicy,AE,0,Custard Kunafa,3,False
5,38,0.598442701205227,0.9303188848378237,10,12.765585312913688,1,0.32148472248589965,15,0.6795981582674262,30,6.600143108565086,6.0717091400751855,Instagram,iOS,Nutty,US,0,Custard Kunafa,1,False
6,56,0.5655083473229738,0.25305843280078455,10,10.257573237578244,1,0.6196685034644355,21,0.9950545937985028,43,7.8324438280783,4.3824032271944855,Referral,iOS,Menthol,SG,1,Custard Kunafa,2,True
7,36,0.7161790747329522,0.7811704237869193,3,10.3099693293947,0,0.47603966755340765,17,0.11080824677583773,42,7.658262295580034,6.707736559028046,Referral,iOS,Nutty,PH,1,Custard Kunafa,1,True
8,40,0.5990293647773265,0.8251321959287038,6,33.002298139689,0,0.2492256124272631,24,0.5868278319585688,27,6.469378868603177,5.558509254773238,Instagram,Desktop,Menthol,IN,0,Mint Chill,0,False
9,28,0.8267988278090783,0.4954521034609818,8,12.732174592041982,0,0.23858919124971112,18,0.6162999377941087,12,5.1696691470532965,4.281204064352557,Instagram,Desktop,Spicy,SG,0,Rose Milk,1,False
10,28,0.9590747945640278,0.3863489098483155,1,16.24688363639303,1,0.7367157911996692,7,0.9227879107127307,33,6.012923785141147,6.142673659469015,Instagram,Android,Menthol,SG,0,Custard Kunafa,1,False
